"filename", "language", "C#", "XML", "JSON", "HTML", "JavaScript", "JSON with Comments", "TypeScript", "Markdown", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\Application\Core\AppException.cs", "C#", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\Application\Core\MappingProfiles.cs", "C#", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 38
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\Application\Core\Result.cs", "C#", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\Application\Core\ValidationBehavior.cs", "C#", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\Application\Interfaces\IPhotoService.cs", "C#", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\Application\Interfaces\IUserAccessor.cs", "C#", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\Application\Profiles\Commands\AddPhoto.cs", "C#", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 54
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\Application\Profiles\Commands\DeletePhoto.cs", "C#", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 48
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\Application\Profiles\Commands\SetMainPhoto.cs", "C#", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 45
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\Application\Profiles\DTOs\PhotoUploadResult.cs", "C#", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\Application\Profiles\DTOs\UserProfile.cs", "C#", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\Application\Profiles\Queries\GetProfile.cs", "C#", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 39
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\Application\Profiles\Queries\GetProfilePhotos.cs", "C#", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 35
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\Domain\Activity.cs", "C#", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 24
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\Domain\ActivityAttendee.cs", "C#", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\Domain\Domain.csproj", "XML", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\Domain\Photo.cs", "C#", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\Domain\User.cs", "C#", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 25
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\Infrastructure\Infrastructure.csproj", "XML", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\Infrastructure\Photos\CouldinarySettings.cs", "C#", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\Infrastructure\Photos\PhotoService.cs", "C#", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20, 79
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\Infrastructure\Security\IsHostRequirement.cs", "C#", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 42
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\Infrastructure\Security\UserAccessor.cs", "C#", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 40
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\Persistence\AppDbContext.cs", "C#", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 31
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\Persistence\DbInitializer.cs", "C#", 194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 205
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\Persistence\Migrations\20241230131700_InitialCreate.Designer.cs", "C#", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15, 68
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\Persistence\Migrations\20241230131700_InitialCreate.cs", "C#", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 43
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\Persistence\Migrations\20250707191619_identityAdded.Designer.cs", "C#", 236, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 82, 320
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\Persistence\Migrations\20250707191619_identityAdded.cs", "C#", 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23, 226
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\Persistence\Migrations\20250709162614_ActivityAttendeesAdd.Designer.cs", "C#", 273, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 95, 370
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\Persistence\Migrations\20250709162614_ActivityAttendeesAdd.cs", "C#", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 54
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\Persistence\Migrations\20250712122954_PhotoEnt.Designer.cs", "C#", 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 105, 407
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\Persistence\Migrations\20250712122954_PhotoEnt.cs", "C#", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 47
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\Persistence\Migrations\AppDbContextModelSnapshot.cs", "C#", 298, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 105, 404
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\Persistence\Persistence.csproj", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 12, 70
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\eslint.config.js", "JavaScript", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\index.html", "HTML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\package-lock.json", "JSON", 0, 0, 7195, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7196
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\package.json", "JSON", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 1, 52
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\public\vite.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\src\app\layout\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 7, 29
